Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,117,0.117,117,0.117,0,0
1000,110,0.11,110,0.11,0,0
1000,118,0.118,118,0.118,0,0
1000,119,0.119,119,0.119,0,0
1000,110,0.11,110,0.11,0,0
1000,114,0.114,114,0.114,0,0
1000,118,0.118,118,0.118,0,0
1000,104,0.104,104,0.104,0,0
1000,109,0.109,109,0.109,0,0
1000,114,0.114,114,0.114,0,0
1000,125,0.125,125,0.125,0,0
1000,114,0.114,114,0.114,0,0
1000,112,0.112,112,0.112,0,0
1000,113,0.113,113,0.113,0,0
1000,117,0.117,117,0.117,0,0
1000,100,0.1,100,0.1,0,0
1000,112,0.112,112,0.112,0,0
1000,112,0.112,112,0.112,0,0
1000,112,0.112,112,0.112,0,0
1000,110,0.11,110,0.11,0,0
1000,116,0.116,116,0.116,0,0
1000,118,0.118,118,0.118,0,0
1000,107,0.107,107,0.107,0,0
1000,105,0.105,105,0.105,0,0
1000,112,0.112,112,0.112,0,0
1000,120,0.12,120,0.12,0,0
1000,101,0.101,101,0.101,0,0
1000,123,0.123,123,0.123,0,0
1000,108,0.108,108,0.108,0,0
1000,117,0.117,117,0.117,0,0
1000,102,0.102,102,0.102,0,0
1000,122,0.122,122,0.122,0,0
1000,121,0.121,121,0.121,0,0
1000,113,0.113,113,0.113,0,0
1000,109,0.109,109,0.109,0,0
1000,112,0.112,112,0.112,0,0
1000,101,0.101,101,0.101,0,0
1000,108,0.108,108,0.108,0,0
1000,115,0.115,115,0.115,0,0
1000,111,0.111,111,0.111,0,0
1000,111,0.111,111,0.111,0,0
1000,102,0.102,102,0.102,0,0
1000,111,0.111,111,0.111,0,0
1000,101,0.101,101,0.101,0,0
1000,111,0.111,111,0.111,0,0
1000,116,0.116,116,0.116,0,0
1000,111,0.111,111,0.111,0,0
1000,111,0.111,111,0.111,0,0
1000,105,0.105,105,0.105,0,0
1000,117,0.117,117,0.117,0,0
1000,167,0.167,107,0.107,60,0.06
1000,153,0.153,94,0.094,59,0.059
1000,156,0.156,103,0.103,53,0.053
1000,149,0.149,92,0.092,57,0.057
1000,150,0.15,103,0.103,47,0.047
1000,147,0.147,95,0.095,52,0.052
1000,158,0.158,102,0.102,56,0.056
1000,156,0.156,103,0.103,53,0.053
1000,155,0.155,102,0.102,53,0.053
1000,152,0.152,109,0.109,43,0.043
1000,161,0.161,103,0.103,58,0.058
1000,134,0.134,91,0.091,43,0.043
1000,155,0.155,102,0.102,53,0.053
1000,116,0.116,87,0.087,29,0.029
1000,160,0.16,112,0.112,48,0.048
1000,141,0.141,83,0.083,58,0.058
1000,137,0.137,78,0.078,59,0.059
1000,128,0.128,98,0.098,30,0.03
1000,147,0.147,94,0.094,53,0.053
1000,149,0.149,106,0.106,43,0.043
1000,136,0.136,81,0.081,55,0.055
1000,138,0.138,100,0.1,38,0.038
1000,151,0.151,101,0.101,50,0.05
1000,148,0.148,100,0.1,48,0.048
1000,153,0.153,106,0.106,47,0.047
1000,149,0.149,99,0.099,50,0.05
1000,147,0.147,90,0.09,57,0.057
1000,169,0.169,109,0.109,60,0.06
1000,155,0.155,97,0.097,58,0.058
1000,135,0.135,95,0.095,40,0.04
1000,136,0.136,83,0.083,53,0.053
1000,151,0.151,100,0.1,51,0.051
1000,145,0.145,93,0.093,52,0.052
1000,157,0.157,103,0.103,54,0.054
1000,150,0.15,95,0.095,55,0.055
