tags_collected, collisions_in_seconds, time_in_minutes, random_seed
114, 807.594, 16.6667, 951311
112, 723.906, 16.6667, 98061
115, 705.625, 16.6667, 441837
121, 793.062, 16.6667, 716633
113, 881.969, 16.6667, 812203
121, 645.656, 16.6667, 801889
109, 781.188, 16.6667, 79236
116, 678.562, 16.6667, 241769
121, 894.531, 16.6667, 537025
120, 650.906, 16.6667, 559347
115, 929.688, 16.6667, 955693
80, 2504.78, 16.6667, 90177
121, 650.375, 16.6667, 587797
111, 860.562, 16.6667, 788202
109, 941.688, 16.6667, 989341
106, 1561.19, 16.6667, 365348
114, 681.844, 16.6667, 751313
119, 791.938, 16.6667, 822011
118, 890.562, 16.6667, 65171
117, 812.656, 16.6667, 66116
115, 1232.19, 16.6667, 332170
107, 717.5, 16.6667, 173233
106, 1036.97, 16.6667, 376342
108, 995.031, 16.6667, 206431
112, 646.781, 16.6667, 151031
123, 686.562, 16.6667, 631076
122, 736.5, 16.6667, 669064
110, 1001.41, 16.6667, 740946
109, 1043.5, 16.6667, 78430
116, 1012.59, 16.6667, 576232
117, 844.719, 16.6667, 788560
121, 859.094, 16.6667, 76402
118, 1200.53, 16.6667, 924257
110, 964.938, 16.6667, 762362
111, 1090.56, 16.6667, 751401
119, 674.219, 16.6667, 734464
113, 773.25, 16.6667, 964072
120, 741.312, 16.6667, 152569
116, 763.312, 16.6667, 170306
119, 842.125, 16.6667, 177888
105, 1508.56, 16.6667, 248113
121, 790.656, 16.6667, 41684
120, 804.312, 16.6667, 131868
117, 919.531, 16.6667, 525854
119, 757.781, 16.6667, 735630
126, 843.875, 16.6667, 895883
116, 1057.53, 16.6667, 47200
100, 737.656, 16.6667, 298579
105, 1068.88, 16.6667, 401731
94, 1664.06, 16.6667, 466440
77, 1479.25, 16.6667, 219722
74, 1850.66, 16.6667, 269224
89, 1171.69, 16.6667, 935481
86, 1305.53, 16.6667, 909057
82, 1062.69, 16.6667, 4592
81, 1020.12, 16.6667, 230988
84, 876.656, 16.6667, 394444
77, 1643.03, 16.6667, 499735
95, 955.219, 16.6667, 76665
93, 901.469, 16.6667, 953723
90, 2045.44, 16.6667, 816382
75, 1677.12, 16.6667, 133496
86, 872.219, 16.6667, 53880
76, 828.531, 16.6667, 46350
93, 1161.44, 16.6667, 47534
92, 1987.66, 16.6667, 899038
99, 981.594, 16.6667, 685372
91, 1226.59, 16.6667, 747090
80, 966.438, 16.6667, 829677
96, 947.781, 16.6667, 861632
97, 1399.84, 16.6667, 36693
78, 931.531, 16.6667, 891882
77, 1112.94, 16.6667, 831157
91, 1058.88, 16.6667, 846818
82, 1399.25, 16.6667, 823612
91, 868.5, 16.6667, 337006
95, 814.781, 16.6667, 193643
91, 1132.06, 16.6667, 822482
108, 1193.88, 16.6667, 500404
97, 1090.28, 16.6667, 137322
95, 917.781, 16.6667, 913371
78, 1138.03, 16.6667, 87404
97, 956.438, 16.6667, 945655
75, 1482.62, 16.6667, 825922
92, 877, 16.6667, 547438
77, 1181.34, 16.6667, 686174
82, 871.344, 16.6667, 401933
90, 963.219, 16.6667, 584450
58, 1961.03, 16.6667, 390406
87, 1005.38, 16.6667, 914584
95, 888.656, 16.6667, 778469
71, 1314, 16.6667, 812571
60, 1016.66, 16.6667, 616870
68, 1322.88, 16.6667, 288621
92, 1019.22, 16.6667, 883149
69, 1016.09, 16.6667, 73269
85, 839.031, 16.6667, 114609
95, 874.875, 16.6667, 341902
70, 1301.69, 16.6667, 298314
75, 1343.88, 16.6667, 108435
