tags_collected, collisions_in_seconds, time_in_minutes, random_seed
125, 511.25, 16.6667, 188046
120, 462.281, 16.6667, 884347
124, 582.188, 16.6667, 424061
120, 552.094, 16.6667, 687678
120, 462.531, 16.6667, 156500
117, 558.719, 16.6667, 690201
120, 511.156, 16.6667, 158599
118, 475, 16.6667, 436346
122, 587.062, 16.6667, 857602
123, 507.406, 16.6667, 374649
120, 553.812, 16.6667, 797457
124, 491.812, 16.6667, 986268
124, 495.531, 16.6667, 100305
123, 489.062, 16.6667, 472934
121, 450.469, 16.6667, 52650
122, 523.031, 16.6667, 417499
125, 464.344, 16.6667, 97697
122, 484.625, 16.6667, 656093
125, 545.875, 16.6667, 284786
127, 435.125, 16.375, 777523
123, 530.531, 16.6667, 349894
126, 615, 16.6667, 968162
117, 520.469, 16.6667, 577484
122, 515.625, 16.6667, 168869
122, 576.438, 16.6667, 633992
121, 526.125, 16.6667, 271920
124, 509.125, 16.6667, 11811
122, 499.312, 16.6667, 759690
124, 506.781, 16.6667, 756076
124, 487.469, 16.6667, 514972
120, 502, 16.6667, 192726
123, 505, 16.6667, 775739
121, 501.875, 16.6667, 320094
120, 543.812, 16.6667, 838899
120, 520.062, 16.6667, 229661
124, 483.156, 16.6667, 910381
123, 538.375, 16.6667, 587256
123, 511.656, 16.6667, 297918
125, 536.531, 16.6667, 787715
124, 502.469, 16.6667, 462227
121, 580.656, 16.6667, 238148
122, 539, 16.6667, 135821
123, 500.844, 16.6667, 862310
124, 491.25, 16.6667, 401606
125, 445.406, 16.6667, 926899
126, 627.25, 16.6667, 517351
118, 518.938, 16.6667, 915864
123, 493, 16.6667, 575737
126, 530.719, 16.6667, 161801
121, 524.688, 16.6667, 711764
109, 704.656, 16.6667, 239723
117, 710.562, 16.6667, 582475
110, 757.188, 16.6667, 996179
112, 683.688, 16.6667, 394961
123, 625.031, 16.6667, 660396
117, 753.125, 16.6667, 941428
117, 752.5, 16.6667, 312697
116, 758.312, 16.6667, 362744
112, 840.281, 16.6667, 531998
112, 771.312, 16.6667, 615342
117, 821.844, 16.6667, 925579
117, 946.406, 16.6667, 57977
111, 753.312, 16.6667, 298121
118, 647.938, 16.6667, 133038
116, 791.5, 16.6667, 553583
107, 607.438, 16.6667, 501738
117, 640.125, 16.6667, 728042
109, 802.625, 16.6667, 764957
118, 870.125, 16.6667, 456972
109, 896.062, 16.6667, 842327
115, 809.312, 16.6667, 953179
123, 678.812, 16.6667, 824365
117, 605.125, 16.6667, 928999
113, 790.906, 16.6667, 317978
116, 715.625, 16.6667, 507049
118, 744.469, 16.6667, 782258
109, 743.531, 16.6667, 223282
120, 675.625, 16.6667, 889487
118, 650.75, 16.6667, 564205
118, 764.219, 16.6667, 340048
116, 875.469, 16.6667, 213061
112, 713.812, 16.6667, 707423
116, 721.125, 16.6667, 170818
120, 880.938, 16.6667, 986310
114, 700, 16.6667, 773440
115, 805.688, 16.6667, 632125
112, 759.812, 16.6667, 564795
114, 813.688, 16.6667, 238913
119, 728.938, 16.6667, 549472
115, 821.531, 16.6667, 701451
111, 757, 16.6667, 948121
117, 607.406, 16.6667, 491305
115, 764.812, 16.6667, 473818
112, 609.219, 16.6667, 192977
117, 723.469, 16.6667, 94829
110, 630.406, 16.6667, 282970
119, 871.531, 16.6667, 985253
106, 646.281, 16.6667, 755235
116, 809.375, 16.6667, 139586
116, 866.281, 16.6667, 483543
