Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,123,0.123,123,0.123,0,0
1000,124,0.124,124,0.124,0,0
1000,123,0.123,123,0.123,0,0
1000,123,0.123,123,0.123,0,0
1000,123,0.123,123,0.123,0,0
1000,124,0.124,124,0.124,0,0
1000,125,0.125,125,0.125,0,0
1000,120,0.12,120,0.12,0,0
1000,121,0.121,121,0.121,0,0
1000,123,0.123,123,0.123,0,0
1000,124,0.124,124,0.124,0,0
1000,123,0.123,123,0.123,0,0
1000,123,0.123,123,0.123,0,0
1000,123,0.123,123,0.123,0,0
1000,125,0.125,125,0.125,0,0
1000,123,0.123,123,0.123,0,0
1000,122,0.122,122,0.122,0,0
1000,125,0.125,125,0.125,0,0
1000,122,0.122,122,0.122,0,0
1000,114,0.114,114,0.114,0,0
1000,123,0.123,123,0.123,0,0
1000,122,0.122,122,0.122,0,0
1000,126,0.126,126,0.126,0,0
1000,121,0.121,121,0.121,0,0
1000,127,0.127,127,0.127,0,0
1000,123,0.123,123,0.123,0,0
1000,122,0.122,122,0.122,0,0
1000,123,0.123,123,0.123,0,0
1000,124,0.124,124,0.124,0,0
1000,121,0.121,121,0.121,0,0
1000,124,0.124,124,0.124,0,0
1000,119,0.119,119,0.119,0,0
1000,124,0.124,124,0.124,0,0
1000,124,0.124,124,0.124,0,0
1000,124,0.124,124,0.124,0,0
1000,124,0.124,124,0.124,0,0
1000,126,0.126,126,0.126,0,0
1000,123,0.123,123,0.123,0,0
1000,125,0.125,125,0.125,0,0
1000,120,0.12,120,0.12,0,0
1000,123,0.123,123,0.123,0,0
1000,117,0.117,117,0.117,0,0
1000,116,0.116,116,0.116,0,0
1000,125,0.125,125,0.125,0,0
1000,121,0.121,121,0.121,0,0
1000,123,0.123,123,0.123,0,0
1000,121,0.121,121,0.121,0,0
1000,122,0.122,122,0.122,0,0
1000,123,0.123,123,0.123,0,0
1000,119,0.119,119,0.119,0,0
1000,197,0.197,111,0.111,86,0.086
1000,188,0.188,108,0.108,80,0.08
1000,181,0.181,102,0.102,79,0.079
1000,193,0.193,109,0.109,84,0.084
1000,196,0.196,112,0.112,84,0.084
1000,199,0.199,114,0.114,85,0.085
1000,193,0.193,112,0.112,81,0.081
1000,188,0.188,111,0.111,77,0.077
1000,193,0.193,114,0.114,79,0.079
1000,192,0.192,109,0.109,83,0.083
1000,189,0.189,108,0.108,81,0.081
1000,188,0.188,114,0.114,74,0.074
1000,185,0.185,103,0.103,82,0.082
1000,196,0.196,117,0.117,79,0.079
1000,192,0.192,105,0.105,87,0.087
1000,196,0.196,111,0.111,85,0.085
1000,187,0.187,105,0.105,82,0.082
1000,193,0.193,106,0.106,87,0.087
1000,188,0.188,111,0.111,77,0.077
1000,192,0.192,110,0.11,82,0.082
1000,68,0.068,38,0.038,30,0.03
1000,186,0.186,105,0.105,81,0.081
1000,191,0.191,108,0.108,83,0.083
1000,183,0.183,103,0.103,80,0.08
1000,191,0.191,110,0.11,81,0.081
1000,191,0.191,111,0.111,80,0.08
1000,203,0.203,112,0.112,91,0.091
1000,198,0.198,116,0.116,82,0.082
1000,185,0.185,105,0.105,80,0.08
1000,185,0.185,108,0.108,77,0.077
1000,186,0.186,104,0.104,82,0.082
1000,186,0.186,104,0.104,82,0.082
1000,191,0.191,108,0.108,83,0.083
1000,189,0.189,109,0.109,80,0.08
1000,187,0.187,106,0.106,81,0.081
1000,196,0.196,109,0.109,87,0.087
1000,195,0.195,107,0.107,88,0.088
1000,197,0.197,116,0.116,81,0.081
1000,192,0.192,113,0.113,79,0.079
1000,188,0.188,104,0.104,84,0.084
1000,194,0.194,107,0.107,87,0.087
1000,189,0.189,103,0.103,86,0.086
1000,189,0.189,104,0.104,85,0.085
1000,189,0.189,112,0.112,77,0.077
1000,204,0.204,117,0.117,87,0.087
1000,193,0.193,109,0.109,84,0.084
1000,190,0.19,106,0.106,84,0.084
1000,184,0.184,110,0.11,74,0.074
1000,188,0.188,105,0.105,83,0.083
1000,190,0.19,113,0.113,77,0.077
