Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives, QZones
900,70,0.0777778,44,0.0488889,26,0.0288889,3,0,0,10
900,85,0.0944444,72,0.08,13,0.0144444,11,0,0,7
900,83,0.0922222,71,0.0788889,12,0.0133333,9,0,0,5
900,83,0.0922222,70,0.0777778,13,0.0144444,6,0,0,8
900,74,0.0822222,57,0.0633333,17,0.0188889,7,0,0,7
900,100,0.111111,77,0.0855556,23,0.0255556,5,0,0,10
900,50,0.0555556,38,0.0422222,12,0.0133333,6,0,0,8
900,94,0.104444,71,0.0788889,23,0.0255556,5,0,0,10
900,97,0.107778,73,0.0811111,24,0.0266667,12,0,0,9
900,90,0.1,74,0.0822222,16,0.0177778,12,0,0,7
900,103,0.114444,81,0.09,22,0.0244444,9,0,0,9
900,62,0.0688889,45,0.05,17,0.0188889,5,0,0,7
900,104,0.115556,84,0.0933333,20,0.0222222,6,0,0,9
900,98,0.108889,67,0.0744444,31,0.0344444,2,0,0,7
900,88,0.0977778,64,0.0711111,24,0.0266667,6,0,0,10
900,61,0.0677778,52,0.0577778,9,0.01,4,0,0,8
900,68,0.0755556,44,0.0488889,24,0.0266667,6,0,0,10
900,73,0.0811111,55,0.0611111,18,0.02,4,0,0,6
900,71,0.0788889,40,0.0444444,31,0.0344444,5,0,0,10
900,102,0.113333,79,0.0877778,23,0.0255556,6,0,0,8
900,93,0.103333,73,0.0811111,20,0.0222222,8,0,0,9
900,67,0.0744444,39,0.0433333,28,0.0311111,6,0,0,9
900,65,0.0722222,55,0.0611111,10,0.0111111,6,0,0,7
900,90,0.1,67,0.0744444,23,0.0255556,8,0,0,11
900,83,0.0922222,61,0.0677778,22,0.0244444,5,0,0,10
900,100,0.111111,65,0.0722222,35,0.0388889,1,0,0,8
900,64,0.0711111,51,0.0566667,13,0.0144444,3,0,0,8
900,75,0.0833333,49,0.0544444,26,0.0288889,4,0,0,8
900,71,0.0788889,58,0.0644444,13,0.0144444,5,0,0,7
900,98,0.108889,72,0.08,26,0.0288889,2,0,0,7
900,90,0.1,62,0.0688889,28,0.0311111,6,0,0,9
900,112,0.124444,94,0.104444,18,0.02,6,0,0,9
900,83,0.0922222,62,0.0688889,21,0.0233333,4,0,0,10
900,64,0.0711111,42,0.0466667,22,0.0244444,3,0,0,10
900,101,0.112222,80,0.0888889,21,0.0233333,7,0,0,9
900,86,0.0955556,69,0.0766667,17,0.0188889,2,0,0,8
900,82,0.0911111,67,0.0744444,15,0.0166667,6,0,0,8
900,84,0.0933333,73,0.0811111,11,0.0122222,10,0,0,9
900,91,0.101111,76,0.0844444,15,0.0166667,10,0,0,5
900,86,0.0955556,74,0.0822222,12,0.0133333,9,0,0,8
900,91,0.101111,74,0.0822222,17,0.0188889,3,0,0,8
900,87,0.0966667,63,0.07,24,0.0266667,3,0,0,9
900,64,0.0711111,44,0.0488889,20,0.0222222,1,0,0,9
900,84,0.0933333,63,0.07,21,0.0233333,7,0,0,10
900,73,0.0811111,48,0.0533333,25,0.0277778,2,0,0,10
900,97,0.107778,72,0.08,25,0.0277778,3,0,0,9
900,89,0.0988889,67,0.0744444,22,0.0244444,7,0,0,10
900,92,0.102222,66,0.0733333,26,0.0288889,10,0,0,10
900,80,0.0888889,57,0.0633333,23,0.0255556,5,0,0,9
900,81,0.09,71,0.0788889,10,0.0111111,8,0,0,5
900,73,0.0811111,56,0.0622222,17,0.0188889,6,0,0,6
900,70,0.0777778,46,0.0511111,24,0.0266667,3,0,0,10
900,87,0.0966667,65,0.0722222,22,0.0244444,4,0,0,10
900,100,0.111111,78,0.0866667,22,0.0244444,10,0,0,9
900,98,0.108889,77,0.0855556,21,0.0233333,11,0,0,9
900,92,0.102222,76,0.0844444,16,0.0177778,7,0,0,9
900,73,0.0811111,60,0.0666667,13,0.0144444,6,0,0,8
900,76,0.0844444,59,0.0655556,17,0.0188889,11,0,0,8
900,64,0.0711111,43,0.0477778,21,0.0233333,6,0,0,9
900,106,0.117778,83,0.0922222,23,0.0255556,14,0,0,10
